"","logFC","logCPM","LR","PValue","FDR"
"10826",-0.507961438839976,5.92925879109246,6.07135060076348,0.0137391864301352,0.301080119362829
"91653",0.948999792732603,3.74381868329608,6.06866630602401,0.0137600822817661,0.30130022441107
"105375730",-1.06923846485826,0.85866529872213,6.06503101594795,0.013788433269384,0.301509502224317
"83700",-0.807461237037411,5.8467739055448,6.06155508792382,0.0138155976171035,0.301509502224317
"101929341",-0.992769244439881,4.12876257274717,6.06080636265317,0.013821456101435,0.301509502224317
"10659",0.646338032574471,7.10882074415585,6.05991173713047,0.0138284595497921,0.301509502224317
"154810",0.612419872833631,3.83272316790469,6.05721507892108,0.0138495920489425,0.301509502224317
"23657",0.838888719904585,6.22155260124621,6.05610127609939,0.0138583301133788,0.301509502224317
"101927591",1.31720072446268,1.90877124564804,6.05607906327886,0.0138585044362362,0.301509502224317
"79929",-0.98701067821771,6.18016629437251,6.05563439583891,0.0138619945936959,0.301509502224317
"654254",3.04476915400795,-1.09491480454466,6.05494927391598,0.0138673738282173,0.301509502224317
"112268050",2.60971823013964,-0.695310421491865,6.05321333830422,0.0138810131420043,0.301569898190726
"195828",-1.08932591826318,0.939796202369868,6.05072186191398,0.0139006128913653,0.301759591031085
"53904",2.35786251976313,0.603754485702966,6.04172400664404,0.0139716339072352,0.302941729035757
"728158",-0.823818899412671,3.16635035625812,6.03978941324219,0.0139869525562876,0.302941729035757
"195977",-2.90065727488542,-0.782048432906667,6.03968231849003,0.013987801066949,0.302941729035757
"1525",-0.667617226513886,5.52604828901463,6.03254892060752,0.0140444383239604,0.303828103585101
"348487",-1.22430826297694,2.40104912953468,6.03070615151185,0.0140591077280601,0.303828103585101
"958",1.12467175404016,0.821009791096749,6.02921540445817,0.0140709863880134,0.303828103585101
"100189343",-2.33892717834521,-0.763856746336087,6.0281166291809,0.0140797483254535,0.303828103585101
"105378655",2.62788038155189,-0.617346252390106,6.02760534674091,0.0140838273465186,0.303828103585101
"150147",2.98633884410748,-1.07900404477986,6.02481570975961,0.014106104549797,0.303828103585101
"112267941",-0.633140772875822,6.56437162756486,6.02327524819318,0.0141184217492014,0.303828103585101
"105374152",-0.629645033574203,3.18156939562322,6.02274062135014,0.0141226990969037,0.303828103585101
"105375231",-2.77844363651963,-1.09345495416575,6.02217655052766,0.0141272134604129,0.303828103585101
